"year_month","zip_code","accident_count","light_signal_based_complaint_open_less_than_1_week","road_infra_based_complaint_open_less_than_1_month","road_infra_based_complaint_open_less_than_1_week","light_signal_based_complaint_open_less_than_1_month","light_signal_based_complaint_open_a_month_or_more","road_infra_based_complaint_open_a_month_or_more","dep_infra_based_complaint_open_less_than_1_week","dep_infra_based_complaint_open_less_than_1_month","dep_infra_based_complaint_open_a_month_or_more"
2024-01-01,"10308",7,18,0,27,1,0,0,0,0,0
2024-01-01,"10309",13,22,0,54,0,2,0,0,0,0
2024-01-01,"10310",12,13,0,32,0,1,0,0,0,0
2024-01-01,"10312",28,31,0,79,2,4,0,0,0,0
2024-01-01,"10314",5,82,0,105,1,13,0,0,0,0
2024-02-01,"10451",28,13,1,15,3,1,0,0,0,0
2024-02-01,"10452",24,9,0,7,4,0,0,0,0,0
2024-02-01,"10453",19,9,0,7,2,2,0,0,0,0
2024-02-01,"10454",31,48,0,21,4,3,0,0,0,0
2024-02-01,"10455",32,13,1,15,5,0,0,0,0,0
2024-02-01,"10456",19,15,1,20,1,1,0,0,0,0
2024-02-01,"10457",41,31,0,8,1,5,1,0,0,0
2024-02-01,"10458",33,22,0,23,6,3,0,0,0,0
2024-02-01,"10459",28,33,0,4,1,4,0,0,0,0
2024-02-01,"10460",39,14,2,13,7,0,0,0,0,0
2024-02-01,"10461",21,14,2,18,3,2,0,0,0,0
2024-02-01,"10462",25,17,0,20,8,2,0,0,0,0
2024-02-01,"10463",29,16,2,25,2,3,0,0,0,0
2024-02-01,"10464",1,6,0,4,2,2,0,0,0,0
2024-02-01,"10465",14,30,3,22,2,3,0,0,0,0
2024-02-01,"10466",38,10,2,21,7,3,0,0,0,0
2024-02-01,"10467",39,23,0,16,4,0,0,0,0,0
2024-02-01,"10468",33,17,2,23,1,1,0,0,0,0
2024-02-01,"10469",26,13,1,13,3,2,0,0,0,0
2024-02-01,"10470",13,6,1,8,0,1,0,0,0,0
2024-02-01,"10471",5,2,2,40,0,1,0,0,0,0
2024-02-01,"10472",21,1,0,17,2,3,0,0,0,0
2024-02-01,"10473",23,21,2,18,4,0,0,0,0,0
2024-02-01,"10474",23,5,0,2,2,0,0,0,0,0
2024-02-01,"10475",15,7,0,22,6,0,0,0,0,0
2024-02-01,"11201",45,63,0,53,7,6,0,0,0,0
2024-02-01,"11203",53,28,1,21,3,3,0,0,0,0
2024-02-01,"11204",27,27,0,20,0,1,0,0,0,0
2024-02-01,"11205",19,13,0,9,4,0,0,0,0,0
2024-02-01,"11206",41,36,0,42,4,3,0,0,0,0
2024-02-01,"11207",74,56,3,47,2,6,1,0,0,0
2024-02-01,"11208",67,32,0,22,1,3,0,0,0,0
2024-02-01,"11209",17,17,2,23,1,4,0,0,0,0
2024-02-01,"11210",44,28,0,16,1,1,0,0,0,0
2024-02-01,"11211",37,43,2,30,2,2,0,0,0,0
2024-02-01,"11212",56,36,2,17,1,3,1,0,0,0
2024-02-01,"11213",29,25,0,14,1,7,0,0,0,0
2024-02-01,"11214",42,27,0,30,2,9,0,0,0,0
2024-02-01,"11215",21,36,1,30,3,2,0,0,0,0
2024-02-01,"11216",14,20,1,31,2,2,0,0,0,0
2024-02-01,"11217",35,36,3,23,0,2,0,0,0,0
2024-02-01,"11218",36,28,1,26,1,3,0,0,0,0
2024-02-01,"11219",32,50,0,30,1,5,1,0,0,0
